indice_tiempo,produccion_gas_natural_cuenca_austral,produccion_gas_natural_cuenca_gsj,produccion_gas_natural_cuenca_neuquina,produccion_gas_natural_cuenca_noroeste,produccion_gas_natural_cuenca_cuyana,produccion_gas_natural_total,produccion_gas_natural_total_diario,produccion_shale_gas,produccion_tight_gas,participacion_no_convencional
2011-10,961561.8831,448991.4041,2126906.4043,378450.4955,5411.5640,3921321.7510,126.4943,5803.203,171200.78406,4.5139
2011-11,890280.7942,435006.4146,2049615.3814,362175.2741,5320.1110,3742397.9753,124.7466,3769.137,168778.95297,4.6106
2011-12,924433.6578,462959.4379,2056919.1469,368141.6459,5263.5430,3817717.4315,123.1522,3836.992,178363.23520,4.7725
2012-01,916842.8194,457344.5453,2078519.0617,356457.9645,4934.1130,3814098.5039,123.0354,4538.968,171302.14647,4.6103
2012-02,836846.5494,419973.9454,1874599.9559,329993.4355,4836.6340,3466250.5202,119.5259,5045.536,163886.15130,4.8736
2012-03,901284.4058,445186.8060,2053269.3908,347823.5733,5044.1740,3752608.3499,121.0519,5607.791000,178753.45731,4.9129
2012-04,938361.8997,419570.2981,1979460.1550,331074.1446,4840.1080,3673306.6054,122.4436,5770.06381,184314.38145,5.1748
2012-05,963599.4438,445708.3915,2050498.9859,331559.4407,5014.6610,3796380.9229,122.4639,6230.44081,203374.42381,5.5212
2012-06,933002.6977,409984.0853,1983296.1946,317427.7008,4893.4730,3648604.1514,121.6201,8302.02384,196598.1103311,5.6158
2012-07,965344.0647,431761.8020,2039271.5100,323597.0068,4980.7060,3764955.0895,121.4502,7325.53887,207772.47617,5.7132
2012-08,944230.3576,448078.6092,2049986.1124,316974.7955,5054.3670,3764324.2417,121.4298,6817.81113,206996.02840,5.6800
2012-09,930512.4431,436694.7438,1961678.1489,304504.2897,4520.2170,3637909.8425,121.2637,7240.4697000,204677.0819300,5.8253
2012-10,955992.9111,447445.6170,1995900.1465,308007.0980,4722.5350,3712068.3076,119.7441,7731.54589,205956.86075,5.7566
2012-11,906582.9173,427209.5447,1888202.6857,289323.9974,4605.6780,3515924.8231,117.1975,7022.69127,201931.48583,5.9431
2012-12,942803.3941,430517.4957,1902760.1790,296058.1923,4841.5010,3576980.7621,115.3865,6781.04520,207916.45784,6.0022
2013-01,905951.8590,433188.9055,1911158.5820,298555.7765,4897.8510,3553752.9740,114.6372,8286.13250,207249.85616,6.0650
2013-02,836813.7078,390128.4353,1730463.2752,265586.3518,4580.8620,3227572.6321,115.2705,8415.22900,187837.05007,6.0805
2013-03,833484.7273,438624.2101,1890443.0803,292045.4079,5149.4580,3459746.8836,111.6047,15099.77990,208015.81683,6.4489
2013-04,845537.5349,426356.1834,1833650.6524,265051.1194,4835.7670,3375431.2571,112.5144,15012.144300,199963.21751,6.3688
2013-05,899735.6445,451464.1979,1907538.2308,284339.3666,4786.3542,3547863.7940,114.4472,15354.19962000,207799.84281000,6.2898
2013-06,891034.9310,433708.5290,1856026.8545,265747.4184,4760.8070,3451278.5399,115.0426,13191.939313,202541.69676,6.2508
2013-07,911192.9102,442336.1883,1921949.1158,268098.8411,4859.7153,3548436.7707,114.4657,16126.32351,224661.22152,6.7857
2013-08,911663.6706,444888.7982,1946147.5754,265934.5041,4759.0320,3573393.5803,115.2708,19036.86860,235312.39618,7.1179
2013-09,874638.6116,437829.7194,1884491.4980,259761.7254,4737.2151,3461458.7695,115.3820,18236.3633,242207.68314,7.5241
2013-10,884627.8024,451378.0575,1944958.7774,265892.1032,4964.0628,3551820.8033,114.5749,19158.02624,261868.31594,7.9122
2013-11,851271.5947,437140.6174,1884917.3420,262482.6317,4881.6610,3440693.8468,114.6898,20126.185100,268941.06057,8.4014
2013-12,867883.4269,447097.8730,1930285.2207,266703.0834,4914.7020,3516884.3060,113.4479,22123.144180,301745.8253,9.2090
2014-01,885167.3714,442014.6605,1944919.8742,263495.3680,4599.6114,3540196.8855,114.1999,23465.959800,314046.25217,9.5337
2014-02,793800.6656,403246.2098,1756760.5258,233504.3885,4352.7275,3191664.5172,113.9880,22807.990191,284537.6229,9.6296
2014-03,879715.0346,453502.3597,1885451.2988,254380.6826,4891.7040,3477941.0797,112.1916,24844.175160,311893.0630,9.6821
2014-04,740749.0121,438266.3703,1833150.2857,239112.5697,4763.2185,3256041.4563,108.5347,30990.912010,313487.91707,10.5797
2014-05,880061.9141,445484.1645,1966217.6289,247344.8389,4877.9888,3543986.5352,114.3221,39014.194660,357115.97376,11.1775
2014-06,848265.7895,432434.9751,1911306.0083,237460.6854,4728.3365,3434195.7948,114.4732,39653.140640,355789.75529,11.5149
2014-07,882226.6256,453053.2659,1992592.5021,241655.8747,4842.5747,3574370.8430,115.3023,44968.023080,387729.07552,12.1055
2014-08,859558.3476,446185.4299,2008571.8115,239866.4657,4698.5685,3558880.6232,114.8026,49546.221800,414631.87925,13.0428
2014-09,833190.2608,441576.7797,1945944.6382,232421.3481,4592.7158,3457725.7426,115.2575,55184.721070,403234.67473,13.2578
2014-10,785702.1865,455786.9061,2000204.1398,237126.5741,4716.0452,3483535.8517,112.3721,61791.350330,419894.9813,13.8275
2014-11,804764.9916,434506.6603,1948003.0075,227522.7475,4644.1054,3419441.5123,113.9814,64556.7877,424177.0156,14.2928
2014-12,823253.7712,457936.3602,2023821.0798,239382.4161,4688.6722,3549082.2995,114.4865,75987.698900,444228.0848,14.6578
2015-01,843560.7454,469749.6085,2032204.2648,245215.1120,4682.0369,3595411.7676,115.9810,83849.168750,463858.85673,15.2335
2015-02,730664.9453,429176.5161,1846162.3823,219207.6163,4173.3553,3229384.8153,115.3352,75791.719590,419732.77540,15.3442
2015-03,818581.1962,475897.9293,2073525.4554,239574.3914,4636.2345,3612215.2068,116.5231,81718.086740,487763.53402,15.7654
2015-04,801951.7498,466023.0513,2007368.6215,235939.4585,4369.5897,3515652.4708,117.1884,81379.497970,485845.61662,16.1343
2015-05,854131.9181,470973.7443,2094557.7843,245689.7106,4406.1529,3669759.3102,118.3793,86935.563750,515017.02699,16.4031
2015-06,812847.9511,459946.4500,2027324.6561,235722.6781,4247.0594,3540088.7947,118.0030,93398.217650,503469.66955,16.8603
2015-07,805049.1700,476628.3573,2110780.3424,240104.3054,4530.6580,3637092.8331,117.3256,112220.746200,531584.30993,17.7011
2015-08,842631.2114,492572.9005,2130209.2805,245792.2401,4532.9619,3715738.5944,119.8625,112113.191085,553015.47380,17.9003
2015-09,776442.8800,484443.6008,2035770.2339,233798.8848,4558.3549,3535013.9544,117.8338,106727.194710,538968.87074,18.2657
2015-10,859084.7027,504606.6308,2098446.9380,241543.9371,4772.1856,3708454.3942,119.6276,115692.292411,571899.66270,18.5412
2015-11,808550.0619,486381.8908,2026983.2420,230396.7193,4599.5758,3556911.4898,118.5637,104847.299990,568767.1108710249648,18.9382
2015-12,700013.0843,498588.5286,2144538.5459,239598.9607,4537.6397,3587276.7592,115.7186,108402.271590,622254.6432218779783,20.3680
2016-01,831425.4295,496143.0150,2141928.4437,237345.6141,4510.5726,3711353.0749,119.7211,111481.897631,625680.0167951070397,19.8623
2016-02,781048.0628,455900.5506,2023119.6293,219300.3869,4133.9385,3483502.5681,120.1208,101108.747507049,609374.7215510884811,20.3957
2016-03,871847.7293,485466.6233,2193119.2100,227001.2881,4593.9451,3782028.7958,122.0009,131066.450437,661108.1671557033716,20.9458
2016-04,896878.3892,473509.4902,2094054.9497,218779.9939,4356.1647,3687578.9877,122.9193,115436.402290,689925.0729747758352,21.8398
2016-05,909650.8285,482609.7915,2223787.0167,232231.4008,4270.9032,3852549.9407,124.2758,134349.329713,738707.5749925775538,22.6618
